product_id,product_name,total_products,reason
129,"Rockerz 450 - Iron Man Marvel Edition",1,"Defective product"
246,"Rockerz 330",1,"Damaged in transit"
347,"Wave Pro 47",1,"Inaccurate step counter"
190,"TRebel Watch Straps",1,"Damaged in transit"
308,"Misfit T30 Trimmer",2,"Bluetooth not working"
181,"Xtend Sport",2,"Inaccurate step counter"
345,"Xtend Sport",1,"Poor quality"
279,"Rockerz 558 Sunburn Edition",1,"Bluetooth not working"
28,"TRebel Airdopes 131",5,"Wrong item shipped"
183,"Wave Pro 47",5,"Inaccurate step counter"
251,"Rockerz 103 Pro",2,"Damaged in transit"
373,"TRebel Airdopes 181",1,"Bluetooth not working"
137,"Airdopes 131",1,"Wrong item shipped"
292,"Stone 190 - Black Panther Marvel Edition",1,"Battery issue"
304,"Rockerz 450 DC edition",1,"Wrong item shipped"
72,"Rockerz 205 Pro",2,"Defective product"
313,"Deuce 330",1,"Bluetooth not working"
210,"Bassheads 900",1,"Wrong item shipped"
72,"Rockerz 205 Pro",1,"Screen issues"
76,"Rockerz 330 ANC",2,"Damaged in transit"
378,"TRebel Airdopes 441 Pro",1,"Inaccurate step counter"
285,"Airdopes 381 Sunburn Edition",2,"Damaged in transit"
138,"Airdopes 441 Pro Special Batman Edition",1,"Bluetooth not working"
30,"Airdopes 441",1,"Poor quality"
244,"Rockerz 255 Pro+",1,"Defective product"
377,"TRebel BassHeads 152",2,"Bluetooth not working"
236,"Airdopes 138",1,"Bluetooth not working"
224,"Airdopes 131 PRO",1,"Bluetooth not working"
290,"Stone 190 - Iron Man Marvel Edition",1,"Wrong item shipped"
327,"Dual QC-PD Port Rapid Car Charger With Type C Cable",1,"Battery issue"
66,"Rockerz 235 Pro",1,"Poor quality"
35,"TRebel Airdopes 381",2,"Damaged in transit"
46,"Rockerz 235 V2",2,"Poor quality"
15,"Bassheads 192 - Make in India",1,"Screen issues"
256,"Rockerz 510",2,"Damaged in transit"
224,"Airdopes 131 PRO",3,"Screen issues"
269,"Rockerz 255 Pro Made in India",2,"Damaged in transit"
308,"Misfit T30 Trimmer",1,"Inaccurate step counter"
310,"Misfit T200",1,"Defective product"
261,"Rockerz 385 V2",1,"Bluetooth not working"
295,"Rockerz 550 Sunburn Edition",2,"Poor quality"
132,"Rockerz 600 KKR Edition",1,"Inaccurate step counter"
274,"Nirvanaa 751 ANC",1,"Screen issues"
329,"Storm Call",1,"Screen issues"
216,"BassHeads 102",2,"Inaccurate step counter"
161,"Micro USB 100 1 Meter",1,"Damaged in transit"
86,"Stone 1000v2",2,"Damaged in transit"
153,"Type C C400",1,"Inaccurate step counter"
312,Mask,1,"Poor quality"
312,Mask,1,"Inaccurate step counter"
321,"LTG 500 Indestructible Apple Certified Lightning Cable 1 Meter",1,"Battery issue"
284,"BassHeads 152 Sunburn Edition",2,"Bluetooth not working"
7,"BassHeads 102",3,"Inaccurate step counter"
287,"Airdopes 441 KKR Edition",2,"Defective product"
305,"Rockerz 450",2,"Inaccurate step counter"
280,"Airdopes 383 Sunburn Edition",1,"Defective product"
60,"Rockerz 510",3,"Damaged in transit"
169,Xtend?,1,"Screen issues"
131,"Rockerz 550 Sunburn Edition",14,"Defective product"
91,"Stone 1200F",1,"Defective product"
202,"TRebel Rockerz 330 Pro",2,"Battery issue"
102,"Stone 135",2,"Inaccurate step counter"
71,"Rockerz 245 Pro",1,"Damaged in transit"
208,"TRebel Airdopes 441 Pro",2,"Poor quality"
231,"Airdopes 161",1,"Bluetooth not working"
15,"Bassheads 192 - Make in India",1,"Damaged in transit"
245,"Rockerz 245 V2",2,"Battery issue"
196,"TRebel BassHeads 100",1,"Damaged in transit"
147,"Misfit T150 Trimmer",1,"Inaccurate step counter"
82,"Rockerz 425",1,"Poor quality"
100,"Stone 650",1,"Battery issue"
289,"Stone SpinX 2.0 Bira Edition",1,"Poor quality"
177,Blaze,1,"Damaged in transit"
362,"TRebel Airdopes 402",1,"Screen issues"
269,"Rockerz 255 Pro Made in India",3,"Screen issues"
275,"Rockerz 450R",2,"Battery issue"
124,"Stone 190 - Captain America Marvel Edition",2,"Damaged in transit"
361,"TRebel Airdopes 381",1,"Screen issues"
321,"LTG 500 Indestructible Apple Certified Lightning Cable 1 Meter",1,"Defective product"
269,"Rockerz 255 Pro Made in India",1,"Inaccurate step counter"
99,"Stone 352",4,"Poor quality"
118,"Airdopes 131 Iron Man Marvel Edition",1,"Battery issue"
13,"TRebel BassHeads 102",3,"Wrong item shipped"
352,"Watch Storm - Iron Man Marvel Edition",1,"Inaccurate step counter"
245,"Rockerz 245 V2",2,"Wrong item shipped"
379,"TRebel Rockerz 255 Pro",1,"Poor quality"
205,"TRebel Rockerz 235 V2",2,"Poor quality"
98,"Stone 190",2,"Damaged in transit"
285,"Airdopes 381 Sunburn Edition",1,"Wrong item shipped"
169,Xtend?,1,"Inaccurate step counter"
284,"BassHeads 152 Sunburn Edition",1,"Wrong item shipped"
281,"Airdopes 131 Captain America Marvel Edition",3,"Bluetooth not working"
107,"Aavante Bar 550",2,"Poor quality"
50,"Rockerz 333",3,"Screen issues"
49,"Rockerz 330",1,"Poor quality"
91,"Stone 1200F",1,"Wrong item shipped"
265,"Rockerz 330 Pro",1,"Bluetooth not working"
31,"Airdopes 141 Pro",1,"Poor quality"
191,"Wave Voice",1,"Damaged in transit"
321,"LTG 500 Indestructible Apple Certified Lightning Cable 1 Meter",1,"Damaged in transit"
51,"Rockerz 255",1,"Screen issues"
92,"Stone 135",1,"Poor quality"
266,"Rockerz 400",1,"Defective product"
99,"Stone 352",1,"Defective product"
57,"Rockerz 333 Pro",1,"Defective product"
54,"Rockerz 103 Pro",1,"Damaged in transit"
343,"Xtend Talk",2,"Inaccurate step counter"
343,"Xtend Talk",1,"Wrong item shipped"
314,"LTG 500 Indestructible Apple Certified Lightning Cable 2 Meter",1,"Screen issues"
335,"Wave Lite",4,"Wrong item shipped"
31,"Airdopes 141 Pro",1,"Battery issue"
71,"Rockerz 245 Pro",2,"Wrong item shipped"
356,"TRebel Watch Straps",2,"Bluetooth not working"
18,"BassHeads 110",2,"Inaccurate step counter"
275,"Rockerz 450R",1,"Poor quality"
50,"Rockerz 333",1,"Inaccurate step counter"
85,"Trebel Rockerz 255 Pro+",1,"Inaccurate step counter"
30,"Airdopes 441",1,"Wrong item shipped"
110,"Aavante Bar 1250",1,"Battery issue"
327,"Dual QC-PD Port Rapid Car Charger With Type C Cable",1,"Defective product"
299,"Bassheads 172 KKR Edition",1,"Bluetooth not working"
167,"Wave Neo",2,"Poor quality"
346,Mystiq,2,"Battery issue"
166,"Wave Beat",1,"Defective product"
246,"Rockerz 330",1,"Inaccurate step counter"
204,"TRebel Airdopes 181",2,"Defective product"
223,"BassHeads 110",2,"Bluetooth not working"
202,"TRebel Rockerz 330 Pro",2,"Damaged in transit"
80,"Nirvanaa 751 ANC",1,"Battery issue"
232,"Airdopes 441",1,"Bluetooth not working"
184,"TRebel Matrix",1,"Screen issues"
4,"BassHeads 152",1,"Damaged in transit"
21,"Airdopes 411 ANC",1,"Defective product"
40,"Airdopes 131 Captain America Marvel Edition",2,"Bluetooth not working"
316,"A400 USB Type C Data Cable",1,"Damaged in transit"
117,"Airdopes 131 Captain America Marvel Edition",1,"Defective product"
153,"Type C C400",1,"Defective product"
351,"Wave Play",1,"Damaged in transit"
26,"Airdopes 115",1,"Bluetooth not working"
272,"Rockerz 375",1,"Battery issue"
277,"Rockerz 255 ARC",1,"Bluetooth not working"
293,"Rockerz 450 - Iron Man Marvel Edition",1,"Defective product"
165,"Storm Call",2,"Screen issues"
311,"Misfit T150 Trimmer",2,"Damaged in transit"
308,"Misfit T30 Trimmer",2,"Screen issues"
125,"Stone SpinX 2.0 Bira Edition",1,"Damaged in transit"
344,"Storm Pro",1,"Screen issues"
159,"Energyshroom PB9",1,"Battery issue"
118,"Airdopes 131 Iron Man Marvel Edition",1,"Screen issues"
32,"Airdopes 381",1,"Screen issues"
360,"TRebel Rockerz 333",1,"Screen issues"
268,"Rockerz 205 Pro",1,"Damaged in transit"
75,"TRebel Rockerz 235 V2",1,"Poor quality"
26,"Airdopes 115",1,"Poor quality"
28,"TRebel Airdopes 131",1,"Poor quality"
21,"Airdopes 411 ANC",1,"Screen issues"
237,"Airdopes 171",1,"Battery issue"
359,"TRebel Blaze",1,"Defective product"
302,"Airdopes 441 Pro Special Batman Edition",5,"Inaccurate step counter"
379,"TRebel Rockerz 255 Pro",2,"Bluetooth not working"
105,"Rugby Plus",1,"Poor quality"
130,"Watch Storm - Black Panther Marvel Edition",1,"Wrong item shipped"
60,"Rockerz 510",1,"Defective product"
136,"Airdopes 131 Batman DC Edition",3,"Defective product"
199,"TRebel Airdopes 141",1,"Damaged in transit"
283,"Bassheads 172 Sunburn Edition",2,"Inaccurate step counter"
248,"Rockerz 255",2,"Screen issues"
190,"TRebel Watch Straps",1,"Wrong item shipped"
264,"Rockerz 260 v1",2,"Wrong item shipped"
172,"Watch Flash",3,"Poor quality"
163,"Dual QC-PD Port Rapid Car Charger With Type C Cable",2,"Screen issues"
97,"Stone Grenade",1,"Bluetooth not working"
378,"TRebel Airdopes 441 Pro",1,"Bluetooth not working"
84,"Rockerz 255 ARC",2,"Defective product"
316,"A400 USB Type C Data Cable",1,"Bluetooth not working"
116,"Airdopes 383 Sunburn Edition",1,"Wrong item shipped"
101,"Stone 1200F",3,"Poor quality"
376,"TRebel Airdopes 131",1,"Damaged in transit"
320,"Micro USB 500 Cable 1.5 Meter",2,"Bluetooth not working"
35,"TRebel Airdopes 381",2,"Wrong item shipped"
254,"Rockerz 260",1,"Wrong item shipped"
291,"Airdopes 381 Masaba Edition",1,"Wrong item shipped"
11,"TRebel BassHeads 152",1,"Bluetooth not working"
285,"Airdopes 381 Sunburn Edition",1,"Battery issue"
337,Storm,2,"Defective product"
225,"Airdopes 411 ANC",1,"Battery issue"
315,"Micro USB 150 1.5 Meter",1,"Inaccurate step counter"
149,"Deuce 330",1,"Bluetooth not working"
379,"TRebel Rockerz 255 Pro",1,"Battery issue"
35,"TRebel Airdopes 381",2,"Bluetooth not working"
92,"Stone 135",1,"Bluetooth not working"
119,"Bassheads 172 Sunburn Edition",1,"Battery issue"
302,"Airdopes 441 Pro Special Batman Edition",1,"Defective product"
7,"BassHeads 102",1,"Defective product"
75,"TRebel Rockerz 235 V2",1,"Bluetooth not working"
255,"Rockerz 335",1,"Wrong item shipped"
362,"TRebel Airdopes 402",3,"Poor quality"
128,"Stone 190 - Black Panther Marvel Edition",1,"Inaccurate step counter"
288,"Stone 190 - Captain America Marvel Edition",2,"Inaccurate step counter"
217,"BassHeads 103",2,"Poor quality"
101,"Stone 1200F",1,"Screen issues"
226,"Airdopes 121 PRO",1,"Wrong item shipped"
74,"Rockerz 255 Pro Made in India",5,"Bluetooth not working"
324,"Dual Port Rapid Car Charger (Qualcomm Certified)",1,"Screen issues"
367,"TRebel Airdopes 141",1,"Battery issue"
155,"Deuce USB 300",1,"Screen issues"
107,"Aavante Bar 550",1,"Inaccurate step counter"
89,"Stone 352",1,"Wrong item shipped"
306,"Misfit T50 Trimmer",2,"Battery issue"
333,Xtend?,1,"Wrong item shipped"
62,"Rockerz 255 Neo",1,"Battery issue"
332,"Wave Connect",1,"Screen issues"
186,"TRebel Xtend?",1,"Defective product"
245,"Rockerz 245 V2",2,"Inaccurate step counter"
166,"Wave Beat",1,"Screen issues"
266,"Rockerz 400",2,"Bluetooth not working"
239,"Airdopes 451v2",1,"Poor quality"
261,"Rockerz 385 V2",1,"Damaged in transit"
263,"Rockerz 255F",1,"Bluetooth not working"
314,"LTG 500 Indestructible Apple Certified Lightning Cable 2 Meter",1,"Inaccurate step counter"
88,"Stone 190",1,"Inaccurate step counter"
128,"Stone 190 - Black Panther Marvel Edition",2,"Damaged in transit"
279,"Rockerz 558 Sunburn Edition",1,"Wrong item shipped"
362,"TRebel Airdopes 402",2,"Damaged in transit"
307,"Misfit T50 Lite",1,"Damaged in transit"
349,"TRebel Blaze",5,"Inaccurate step counter"
220,"Bassheads 192 - Make in India",1,"Battery issue"
170,"Wave Call",1,"Battery issue"
316,"A400 USB Type C Data Cable",1,"Defective product"
100,"Stone 650",1,"Screen issues"
350,"TRebel Xtend?",1,"Screen issues"
190,"TRebel Watch Straps",1,"Defective product"
